factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f2538,40,24,2.0125
f2571,40,17,4.7
f2682,40,14,1.275
f2968,40,15,1.5
f3059,40,18,2.9125
f3140,40,19,2.4
f34100,40,14,0.4
f3436,40,14,1.175
f3451,40,14,1.825
f352,40,12,2.775
f3839,40,26,3.7875
f4061,40,23,4.3
f4099,40,23,0.2
f4271,40,16,3.5625
f4558,40,18,3.1875
f4671,40,11,2.25
f4782,40,14,4.0
f48,40,20,4.2625
f4876,40,21,4.775
f4981,40,15,4.5875
f5287,40,17,2.575
f5356,40,17,3.325
f5780,40,18,3.2125
f5864,40,18,4.7
f5895,40,18,1.75
f6168,40,15,3.0
f6182,40,12,3.1625
f635,40,15,1.8625
f6579,40,19,1.5
f662,40,15,3.8625
f6797,40,22,3.7375
f698,40,17,4.125
f7185,40,18,4.15
f8297,40,12,1.8375
f8486,40,22,4.425
f874,40,18,1.8375
f956,40,20,4.0
f993,40,20,1.0
f1067,39,21,4.8625
f114,39,27,1.9625
f153,39,22,1.2625
f1622,39,17,3.55
f1656,39,17,2.35
f1662,39,19,4.6875
f1680,39,19,3.9625
f1844,39,21,4.225
f2030,39,19,5.375
f226,39,19,2.75
f2287,39,16,4.65
f229,39,19,4.925
f2452,39,19,3.575
f263,39,19,5.575
f2762,39,18,1.5875
f3035,39,19,3.1375
f3072,39,20,2.2625
f354,39,13,3.2
f3544,39,21,1.475
f37,39,13,3.275
f3785,39,27,3.25
f4462,39,21,0.975
f5682,39,12,2.0125
f57100,39,20,3.175
f5892,39,19,6.1875
f615,39,16,0.8125
f6275,39,22,5.275
f7172,39,16,4.8125
f7590,39,24,4.5875
f7884,39,20,2.9375
f961,39,21,2.0375
f1173,38,19,4.575
f1214,38,22,5.0
f1334,38,15,1.9375
f1446,38,17,2.25
f1664,38,19,1.2
f1689,38,19,2.125
f169,38,25,5.9875
f185,38,28,3.0
f2477,38,21,3.575
f2481,38,22,4.875
f2876,38,18,3.0375
f2988,38,14,3.1125
f3077,38,21,5.975
f317,38,14,2.0
f3276,38,19,3.5375
f339,38,16,1.925
f3445,38,15,2.7375
f3447,38,17,7.3375
f3746,38,16,0.6375
f3878,38,22,3.5375
f3880,38,22,2.5
f3890,38,21,2.6
f3892,38,22,5.0625
f4045,38,23,3.3875
f4063,38,23,1.6125
f4098,38,25,4.075
f5052,38,18,2.3375
f5378,38,21,5.1
f5863,38,18,5.8125
f6066,38,16,3.7875
f6100,38,16,1.2875
f636,38,14,4.5
f6368,38,12,5.125
f664,38,16,1.85
f6698,38,16,3.85
f689,38,16,1.0
f694,38,20,0.625
f7196,38,13,4.15
