bench,seed,p,freeze,t95,final_commit,final,best,period
random_dense,6,0.5,106,92,0.9676308539944903,98250.24235142555,98250.24235142555,1
random_dense,6,0.55,67,75,0.9586776859504132,98666.24226900427,98666.24226900427,1
random_dense,6,0.6,66,75,0.9573002754820936,98666.24226900427,98666.24226900427,1
random_dense,6,0.7,51,66,0.946625344352617,98666.24226900427,98666.24226900427,1
random_dense,6,0.8,152,155,0.9631542699724518,98250.24235142555,98250.24235142555,1
random_dense,6,0.9,327,2000,0.9349173553719008,98235.27774119031,98017.2498284484,1
random_dense,6,0.95,72,2000,0.8953168044077136,98059.24759413398,98059.24759413398,1
random_dense,6,0.99,559,2000,0.9015151515151515,97979.24744240516,97979.24744240516,1
random_dense,6,1.0,142,2000,0.7816804407713499,97979.24744240516,97979.24744240516,1
random_dense,7,0.5,50,54,0.9842312746386334,102533.25625634834,102533.25625634834,1
random_dense,7,0.55,50,54,0.9832457293035479,102533.25625634834,102533.25625634834,1
random_dense,7,0.6,42,52,0.9812746386333772,102533.25625634834,102533.25625634834,1
random_dense,7,0.7,34,2000,0.9165571616294349,102500.25376328095,102500.25376328095,1
random_dense,7,0.8,27,2000,0.8988173455978975,102500.25376328095,102500.25376328095,1
random_dense,7,0.9,187,2000,0.8705650459921156,102458.25102902895,102458.25102902895,1
random_dense,7,0.95,71,2000,0.8863337713534822,102431.27087332236,102431.27087332236,1
random_dense,7,0.99,489,2000,0.9484231274638634,102470.2518416067,102470.2518416067,1
random_dense,7,1.0,1442,2000,0.8659658344283837,102648.2486903554,102586.27613652434,1
random_dense,8,0.5,90,110,0.97911051212938,100229.23203767314,100229.23203767314,1
random_dense,8,0.55,87,103,0.9777628032345014,100229.23203767314,100229.23203767314,1
random_dense,8,0.6,84,100,0.976078167115903,100229.23203767314,100229.23203767314,1
random_dense,8,0.7,71,2000,0.909366576819407,100245.22936178409,100245.22936178409,1
random_dense,8,0.8,84,2000,0.9400269541778976,100123.25063344296,100123.25063344296,1
random_dense,8,0.9,31,2000,0.9356469002695418,100090.24601919472,100090.24601919472,1
random_dense,8,0.95,248,2000,0.9191374663072777,100046.25176991796,100046.25176991796,1
